strategy,table_size,hands,ante_net,blind_net,play_net,trips_net,total_net,ev_per_ante,house_edge_pct,fold_rate,dealer_qual_rate,elapsed_sec,hands_per_sec
always-check,1,1000000,-11415100,-29005800,47500,0,-40373400,-0.403734,40.3734,0.0000,0.8257,0.36,2793510
always-check,2,1000000,-11555400,-29151250,-74900,0,-40781550,-0.407816,40.7816,0.0000,0.8258,0.34,2968600
always-check,3,1000000,-11520500,-29717050,-9100,0,-41246650,-0.412467,41.2467,0.0000,0.8255,0.36,2775352
always-check,4,1000000,-11477800,-29561900,-19200,0,-41058900,-0.410589,41.0589,0.0000,0.8264,0.38,2664635
always-check,5,1000000,-11596000,-29161050,-228000,0,-40985050,-0.409851,40.9851,0.0000,0.8268,0.37,2724417
always-check,6,1000000,-11464000,-29178350,22400,0,-40619950,-0.406200,40.6200,0.0000,0.8257,0.40,2526119
always-4x,1,1000000,-11352000,-29194350,453200,0,-40093150,-0.400931,40.0932,0.0000,0.8262,0.35,2851044
always-4x,2,1000000,-11434100,-28633950,324800,0,-39743250,-0.397433,39.7433,0.0000,0.8256,0.35,2865723
always-4x,3,1000000,-11593600,-29738700,-190000,0,-41522300,-0.415223,41.5223,0.0000,0.8252,0.35,2820333
always-4x,4,1000000,-11503700,-28870700,-191600,0,-40566000,-0.405660,40.5660,0.0000,0.8263,0.35,2886765
always-4x,5,1000000,-11626800,-29412050,-697200,0,-41736050,-0.417360,41.7360,0.0000,0.8260,0.34,2974573
always-4x,6,1000000,-11504900,-29471100,-1200,0,-40977200,-0.409772,40.9772,0.0000,0.8261,0.35,2881157
optimal,1,1000000,-16477600,-31283100,44454100,0,-3306600,-0.033066,3.3066,0.1925,0.8254,53.48,18698
optimal,2,1000000,-16471500,-31123850,44610700,0,-2984650,-0.029846,2.9846,0.1922,0.8254,52.44,19070
optimal,3,1000000,-16654500,-31718700,43983200,0,-4390000,-0.043900,4.3900,0.1928,0.8258,52.33,19110
optimal,4,1000000,-16600500,-31582700,44061500,0,-4121700,-0.041217,4.1217,0.1925,0.8258,52.38,19091
optimal,5,1000000,-16671700,-31733550,43912400,0,-4492850,-0.044928,4.4928,0.1927,0.8260,53.02,18862
optimal,6,1000000,-16444200,-31546200,44508600,0,-3481800,-0.034818,3.4818,0.1923,0.8259,52.68,18982
optimal-table,1,1000000,-16652600,-31224250,44008700,0,-3868150,-0.038682,3.8681,0.1926,0.8255,52.22,19149
optimal-table,2,1000000,-16648400,-31010250,43894800,0,-3763850,-0.037638,3.7638,0.1923,0.8260,47.54,21033
optimal-table,3,1000000,-16416600,-31053250,44388700,0,-3081150,-0.030812,3.0812,0.1916,0.8262,42.95,23283
optimal-table,4,1000000,-16473700,-30929250,44164800,0,-3238150,-0.032382,3.2382,0.1912,0.8262,39.25,25475
optimal-table,5,1000000,-16383000,-31589850,44200900,0,-3771950,-0.037719,3.7719,0.1907,0.8256,35.49,28177
optimal-table,6,1000000,-16519600,-30940350,43872300,0,-3587650,-0.035876,3.5877,0.1906,0.8257,31.98,31271
ev-optimal,1,1000000,-16006400,-30893100,44048800,0,-2850700,-0.028507,2.8507,0.1743,0.8256,172.23,5806
ev-optimal,2,1000000,-15979400,-31189250,43824200,0,-3344450,-0.033445,3.3445,0.1736,0.8260,168.14,5948
ev-optimal,3,1000000,-16014200,-31080800,43615500,0,-3479500,-0.034795,3.4795,0.1736,0.8259,167.76,5961
ev-optimal,4,1000000,-15960800,-31208250,43877100,0,-3291950,-0.032919,3.2919,0.1742,0.8261,168.30,5942
ev-optimal,5,1000000,-16032300,-30925300,43645700,0,-3311900,-0.033119,3.3119,0.1742,0.8267,169.54,5898
ev-optimal,6,1000000,-16022300,-31281400,43655400,0,-3648300,-0.036483,3.6483,0.1739,0.8258,170.41,5868
ev-optimal-table,1,1000000,-15982300,-31245300,43959900,0,-3267700,-0.032677,3.2677,0.1742,0.8263,167.73,5962
ev-optimal-table,2,1000000,-15962500,-31047150,44047100,0,-2962550,-0.029625,2.9625,0.1742,0.8260,166.50,6006
ev-optimal-table,3,1000000,-15949900,-31277050,44025400,0,-3201550,-0.032016,3.2016,0.1731,0.8256,161.53,6191
ev-optimal-table,4,1000000,-15847900,-31324450,43979200,0,-3193150,-0.031932,3.1932,0.1724,0.8259,160.23,6241
ev-optimal-table,5,1000000,-15949200,-30612250,43637800,0,-2923650,-0.029236,2.9236,0.1716,0.8254,156.70,6382
ev-optimal-table,6,1000000,-15798600,-31056650,44171000,0,-2684250,-0.026843,2.6843,0.1718,0.8251,156.93,6372
